family,n_sets,median_size,ic_median,ic_null_median,ic_above_null_frac,ic_above_varnull_frac,varnull_median,split_half_median,split_half_null_median,alpha_median,alpha_null_median,cond_effect_sig_frac,cond_effect_d_median,direction_sig_frac,cross_rho_median,method_agreement_median
anchor,2,6.5,0.2377,0.0272,0.5,0.5,0.0066,0.4611,0.0409,0.4693,0.1514,1.0,1.9497,0.0,0.7831,0.6141
celltype,32,104.5,0.0459,0.0145,0.6875,0.6562,0.0094,0.757,0.4803,0.8552,0.6267,0.9375,1.2305,0.6562,0.7113,0.5463
complex,849,4.0,0.1163,0.0204,0.106,0.1319,0.018,0.3734,0.0671,0.3989,0.0818,0.8799,1.0232,0.0259,0.7125,0.738
data_derived,35,11.0,0.3696,0.0172,0.8286,0.7714,0.0072,0.7527,0.0825,0.8609,0.1777,0.9143,1.4971,0.2,0.8633,0.9341
pathway,1346,21.0,0.091,0.0172,0.39,0.3967,0.0162,0.5911,0.1722,0.709,0.2749,0.8759,1.0853,0.1634,0.7168,0.7207
regulon,212,9.0,0.0607,0.0138,0.1321,0.1415,0.0082,0.3178,0.0608,0.4565,0.123,0.9198,1.3233,0.0377,0.6591,0.6711
signature,38,130.5,0.0695,0.0157,0.7632,0.7105,0.0129,0.8343,0.4956,0.8984,0.6536,0.8947,1.4877,0.4474,0.6704,0.7234
