family,n_sets,median_size,ic_median,ic_null_median,ic_above_null_frac,ic_above_varnull_frac,varnull_median,split_half_median,split_half_null_median,alpha_median,alpha_null_median,cond_effect_sig_frac,cond_effect_d_median,direction_sig_frac,cross_rho_median,method_agreement_median
anchor,2,6.5,0.2377,0.045,0.5,0.5,0.0234,0.4206,0.1311,0.4693,0.2252,1.0,1.9497,0.0,0.7831,0.6141
celltype,36,105.0,0.0455,0.0139,0.7778,0.8333,0.0085,0.7437,0.4453,0.8388,0.5976,0.9167,1.3119,0.6111,0.6993,0.5466
complex,863,4.0,0.1172,0.019,0.2364,0.2665,0.0158,0.3672,0.0637,0.3993,0.0947,0.8864,1.0277,0.0267,0.7118,0.7382
data_derived,27,13.0,0.3444,0.0139,0.963,0.963,0.0065,0.7841,0.0791,0.8754,0.1679,0.8889,1.9842,0.2593,0.887,0.9416
pathway,1396,21.0,0.0904,0.0161,0.553,0.5681,0.0133,0.5877,0.1586,0.7049,0.2706,0.8782,1.0775,0.1648,0.7187,0.7187
regulon,243,10.0,0.053,0.013,0.2593,0.3004,0.0078,0.2861,0.0686,0.4125,0.1413,0.9012,1.3625,0.0412,0.6519,0.6595
signature,40,132.0,0.0661,0.0136,0.825,0.775,0.0108,0.8229,0.4791,0.8954,0.6407,0.875,1.5197,0.475,0.6687,0.7241
