pc,var_ratio,kind,factor,r2,r2_chance,excess,p,n_groups
PC1,0.35546777591971956,個人属性,祖先集団(AF/EU),0.019969353767914755,0.013879122125700312,0.006090231642214443,0.23383084577114427,2
PC2,0.1275747631261997,個人属性,祖先集団(AF/EU),0.0066920863924577745,0.01325260754043979,-0.006560521147982015,0.4626865671641791,2
PC3,0.06432753542853349,個人属性,祖先集団(AF/EU),0.013276241017380674,0.013692342498384438,-0.0004161014810037632,0.34328358208955223,2
PC4,0.046162537472647515,個人属性,祖先集団(AF/EU),0.001298551515767965,0.012436998017363518,-0.011138446501595553,0.7810945273631841,2
PC5,0.04262027073551638,個人属性,祖先集団(AF/EU),0.0012129996583816194,0.013277961932644545,-0.012064962274262925,0.7960199004975125,2
