family,n_sets,median_size,ic_median,ic_null_median,ic_above_null_frac,ic_above_varnull_frac,varnull_median,split_half_median,split_half_null_median,alpha_median,alpha_null_median,cond_effect_sig_frac,cond_effect_d_median,direction_sig_frac,cross_rho_median,method_agreement_median
anchor,2,6.5,0.2377,0.0277,0.5,0.5,0.0074,0.4098,0.0642,0.4693,0.1531,1.0,1.9497,0.0,0.7831,0.6141
celltype,27,107.0,0.0459,0.017,0.7407,0.5556,0.0113,0.7486,0.4889,0.8505,0.6496,0.9259,1.2419,0.6667,0.754,0.5499
complex,804,4.0,0.1178,0.0215,0.1057,0.1045,0.0217,0.3473,0.0675,0.4071,0.0853,0.8794,0.9982,0.0286,0.7105,0.7333
data_derived,31,12.0,0.346,0.0204,0.7419,0.7419,0.0082,0.7655,0.1034,0.8707,0.1974,0.9355,1.4286,0.1935,0.8452,0.9248
pathway,1284,20.5,0.0945,0.0187,0.3949,0.359,0.0198,0.6091,0.181,0.7238,0.298,0.8847,1.089,0.1636,0.7192,0.7265
regulon,161,8.0,0.0729,0.0165,0.1242,0.1056,0.0102,0.3301,0.0836,0.4879,0.1294,0.9193,1.3282,0.0311,0.6816,0.6606
signature,35,125.0,0.0677,0.0173,0.7429,0.7143,0.0161,0.8433,0.5299,0.9017,0.6784,0.9429,1.58,0.4571,0.6683,0.6937
