family,n_sets,median_size,ic_median,ic_null_median,ic_above_null_frac,ic_above_varnull_frac,varnull_median,split_half_median,split_half_null_median,alpha_median,alpha_null_median,cond_effect_sig_frac,cond_effect_d_median,direction_sig_frac,cross_rho_median,method_agreement_median
anchor,2,6.5,0.3424,0.042,0.5,0.0,0.207,0.5025,0.1729,0.5585,0.2208,1.0,1.7804,0.0,0.8469,0.8465
celltype,30,106.5,0.1717,0.079,0.6333,0.0667,0.1919,0.9359,0.8358,0.9582,0.9016,0.9333,1.794,0.8333,0.7767,0.8206
complex,813,4.0,0.308,0.1309,0.1218,0.0713,0.1482,0.6253,0.2816,0.7033,0.4088,0.8856,0.913,0.0603,0.6805,0.7337
data_derived,21,11.0,0.3655,0.1721,0.2381,0.0476,0.2423,0.7438,0.4088,0.8588,0.6421,0.9048,1.2795,0.2381,0.8753,0.8577
pathway,1324,21.0,0.2382,0.1215,0.3384,0.1669,0.1509,0.8357,0.5667,0.8945,0.7299,0.8716,0.8761,0.2606,0.6979,0.7094
regulon,192,9.0,0.2369,0.1135,0.1146,0.0,0.1911,0.6391,0.334,0.7674,0.5425,0.8385,0.7966,0.0521,0.7352,0.7562
signature,36,133.5,0.2166,0.1133,0.5833,0.2778,0.1758,0.9495,0.8994,0.9686,0.9381,0.7222,0.7541,0.5,0.7103,0.757
