family,n_sets,median_size,ic_median,ic_null_median,ic_above_null_frac,ic_above_varnull_frac,varnull_median,split_half_median,split_half_null_median,alpha_median,alpha_null_median,cond_effect_sig_frac,cond_effect_d_median,direction_sig_frac,cross_rho_median,method_agreement_median
anchor,2,6.5,0.2286,0.0097,0.5,0.5,0.0035,0.4185,0.0469,0.4058,0.0581,1.0,2.1369,0.0,0.8111,0.6415
celltype,32,104.5,0.0383,0.0039,0.9062,0.9375,0.0007,0.7319,0.1998,0.8308,0.3119,0.9375,2.5808,0.7812,0.8098,0.5992
complex,849,4.0,0.0841,0.0033,0.1272,0.1402,0.0028,0.2793,0.0183,0.3262,0.0161,0.8763,1.0307,0.0141,0.7061,0.7358
data_derived,28,11.0,0.3591,0.0022,0.8571,0.7857,0.0087,0.7202,0.0313,0.8423,0.0317,0.8929,1.1844,0.25,0.8427,0.9477
pathway,1346,21.0,0.0702,0.0031,0.4487,0.4636,0.0017,0.5307,0.052,0.6559,0.0652,0.8767,1.0491,0.0869,0.7406,0.7444
regulon,212,9.0,0.0478,0.0022,0.1509,0.1557,0.0003,0.2683,0.0091,0.3976,0.026,0.8915,1.2839,0.0142,0.6996,0.6534
signature,38,130.5,0.054,0.0028,0.8421,0.8947,0.0004,0.7982,0.1788,0.8769,0.2605,0.9211,1.4129,0.3158,0.7451,0.7475
