pc,var_ratio,factor,kind,r2,r2_chance,excess,p,n_groups,weighted
PC1,0.17002160892767634,SMRIN,技術,0.006087670847360838,0.004978126420288259,0.0011095444270725783,0.29850746268656714,5,0.00042461287250262066
PC1,0.17002160892767634,SMTSISCH,技術,0.35939879109806716,0.004819654476483638,0.3545791366215835,0.004975124378109453,5,0.13569431025634926
PC1,0.17002160892767634,SMGEBTCH,技術,0.2856858321765142,0.2606023772037376,0.025083454972776642,0.11442786069651742,209,0.009599217127683468
PC1,0.17002160892767634,SMNABTCH,技術,0.44458299792364175,0.43122557464574557,0.013357423277896185,0.2736318407960199,344,0.0051117681535521485
PC1,0.17002160892767634,SMCENTER,技術,0.07898245697782758,0.003616141350180297,0.07536631562764728,0.004975124378109453,4,0.028842024697494292
PC1,0.17002160892767634,AGE,生物学,0.07209317752353572,0.006293096966205474,0.06580008055733025,0.004975124378109453,6,0.0251811108547204
PC1,0.17002160892767634,SEX,生物学,0.012260802894314526,0.0013830050665922067,0.01087779782772232,0.009950248756218905,2,0.004162837349666404
PC1,0.17002160892767634,DTHHRDY,生物学,0.5862749892569663,0.006542138203774055,0.5797328510531923,0.004975124378109453,6,0.22185865222116766
PC1,0.17002160892767634,組成:Myocytes,細胞組成,0.5228565668326683,0.004865182633261351,0.517991384199407,0.004975124378109453,5,0.1982307370573919
PC1,0.17002160892767634,組成:Satellite Cells,細胞組成,0.15134963262240209,0.0046524776667484615,0.14669715495565364,0.004975124378109453,5,0.05613970818458053
PC1,0.17002160892767634,組成:Adipocytes,細胞組成,0.222936265224967,0.005205505736711131,0.21773075948825588,0.004975124378109453,5,0.08332364253535028
PC1,0.17002160892767634,組成:Endothelial Cells,細胞組成,0.21626254705329384,0.005153951925844708,0.21110859512744914,0.004975124378109453,5,0.08078939860350032
PC1,0.17002160892767634,組成:Fibroblasts,細胞組成,0.34027988358312156,0.005018232848948586,0.33526165073417297,0.004975124378109453,5,0.1283016786752745
PC1,0.17002160892767634,組成:Macrophages,細胞組成,0.03681112473851078,0.005261327911000094,0.03154979682751069,0.004975124378109453,5,0.012073829159908964
PC2,0.1198920375514288,SMRIN,技術,0.08743612450655092,0.004951941266824128,0.08248418323972678,0.004975124378109453,5,0.022258985030158315
PC2,0.1198920375514288,SMTSISCH,技術,0.013531306043627178,0.004826322393958995,0.008704983649668183,0.01990049751243781,5,0.002349106133264281
PC2,0.1198920375514288,SMGEBTCH,技術,0.2657220010288843,0.26434846325831357,0.001373537770570754,0.4577114427860697,209,0.000370659627975395
PC2,0.1198920375514288,SMNABTCH,技術,0.46133351716697546,0.4286240534175804,0.03270946374939504,0.13930348258706468,344,0.008826897901458835
PC2,0.1198920375514288,SMCENTER,技術,0.0429059597753898,0.0036564472925308712,0.039249512482858934,0.004975124378109453,4,0.010591779859877326
PC2,0.1198920375514288,AGE,生物学,0.06942657176442424,0.006807046552754388,0.06261952521166986,0.004975124378109453,6,0.01689835577605457
PC2,0.1198920375514288,SEX,生物学,0.006841300129479699,0.00112342399633464,0.005717876133145059,0.009950248756218905,2,0.0015430124207216067
PC2,0.1198920375514288,DTHHRDY,生物学,0.21933172198388562,0.006076001451964082,0.21325572053192154,0.004975124378109453,6,0.05754868029813313
PC2,0.1198920375514288,組成:Myocytes,細胞組成,0.20456775993133858,0.0045574175492069345,0.20001034238213164,0.004975124378109453,5,0.05397431413028143
PC2,0.1198920375514288,組成:Satellite Cells,細胞組成,0.07063561225995896,0.0048582711158060635,0.0657773411441529,0.004975124378109453,5,0.017750516454724925
PC2,0.1198920375514288,組成:Adipocytes,細胞組成,0.2206026890334435,0.004849987104626048,0.21575270192881743,0.004975124378109453,5,0.058222509744592636
PC2,0.1198920375514288,組成:Endothelial Cells,細胞組成,0.2282649074590949,0.005224262434780687,0.2230406450243142,0.004975124378109453,5,0.060189216692418446
PC2,0.1198920375514288,組成:Fibroblasts,細胞組成,0.23714305803763602,0.004853250297555126,0.2322898077400809,0.004975124378109453,5,0.06268517369102752
PC2,0.1198920375514288,組成:Macrophages,細胞組成,0.35761925516137383,0.005017925463763273,0.35260132969761054,0.004975124378109453,5,0.09515215415957397
PC3,0.06209946471086226,SMRIN,技術,0.03812438408446661,0.005053596327181669,0.03307078775728494,0.004975124378109453,5,0.004622498029516774
PC3,0.06209946471086226,SMTSISCH,技術,0.01852741415721637,0.005034134282639405,0.013493279874576967,0.004975124378109453,5,0.0018860348924772958
PC3,0.06209946471086226,SMGEBTCH,技術,0.46245121237186904,0.2588693196149358,0.20358189275693322,0.004975124378109453,209,0.02845583555556278
PC3,0.06209946471086226,SMNABTCH,技術,0.5888519446934386,0.4307666647789348,0.15808527991450377,0.004975124378109453,344,0.022096507052192297
PC3,0.06209946471086226,SMCENTER,技術,0.0065650785110045184,0.0037542570669171138,0.0028108214440874047,0.15920398009950248,4,0.000392885004190908
PC3,0.06209946471086226,AGE,生物学,0.012836458556528818,0.005954253178319455,0.006882205378209363,0.05970149253731343,6,0.0009619662232719164
PC3,0.06209946471086226,SEX,生物学,0.0005663244738409734,0.0013562310050921327,-0.0007899065312511593,0.5572139303482587,2,-0.00011040987021564326
PC3,0.06209946471086226,DTHHRDY,生物学,0.01652952615260006,0.005875954469821242,0.010653571682778818,0.009950248756218905,6,0.0014891122180817327
PC3,0.06209946471086226,組成:Myocytes,細胞組成,0.04665865241095757,0.0045344717634420665,0.042124180647515504,0.004975124378109453,5,0.005887943869593966
PC3,0.06209946471086226,組成:Satellite Cells,細胞組成,0.15369118710384522,0.005025938242820741,0.14866524886102447,0.004975124378109453,5,0.020779814044989804
