pc,var_ratio,shared_between,value,weighted
PC1,0.17002160892767634,安定した個人属性 x 採取時の状況,0.004152756633029719,0.001589223360264525
PC1,0.17002160892767634,その他の技術 x 安定した個人属性,0.0008098136414995682,0.00030990854274864146
PC1,0.17002160892767634,安定した個人属性 x 細胞組成,0.0005984098557353379,0.0002290061772903121
PC1,0.17002160892767634,その他の技術 x 採取時の状況,0.006279089626626599,0.0024029522550059416
PC1,0.17002160892767634,採取時の状況 x 細胞組成,0.3936858707205274,0.15066011270173665
PC1,0.17002160892767634,その他の技術 x 細胞組成,0.012590162780118264,0.004818144323834185
PC1,0.17002160892767634,その他の技術 x 安定した個人属性 x 採取時の状況,0.0011577087135126174,0.0004430449203939361
PC1,0.17002160892767634,安定した個人属性 x 採取時の状況 x 細胞組成,0.05453030182553109,0.0208682658680589
PC1,0.17002160892767634,その他の技術 x 安定した個人属性 x 細胞組成,0.0009241595769712285,0.00035366772438657064
PC1,0.17002160892767634,その他の技術 x 採取時の状況 x 細胞組成,0.0699058848022377,0.026752365949897917
PC1,0.17002160892767634,その他の技術 x 安定した個人属性 x 採取時の状況 x 細胞組成,0.02113129884923204,0.00808676181426741
PC2,0.1198920375514288,安定した個人属性 x 採取時の状況,0.006848032493655176,0.001847993721648364
PC2,0.1198920375514288,その他の技術 x 安定した個人属性,0.0006163883342555909,0.00016633708628821558
PC2,0.1198920375514288,安定した個人属性 x 細胞組成,0.02569961292062084,0.0069352362697027705
PC2,0.1198920375514288,その他の技術 x 採取時の状況,0.01719130316849904,0.004639204085520153
PC2,0.1198920375514288,採取時の状況 x 細胞組成,0.10476541723085997,0.02827174571205376
PC2,0.1198920375514288,その他の技術 x 細胞組成,0.04711311602874246,0.012713833164353996
PC2,0.1198920375514288,その他の技術 x 安定した個人属性 x 採取時の状況,0.0034307556979252807,0.0009258155530291958
PC2,0.1198920375514288,安定した個人属性 x 採取時の状況 x 細胞組成,0.018018754935369197,0.00486249824651598
PC2,0.1198920375514288,その他の技術 x 安定した個人属性 x 細胞組成,-0.0010068147014257178,-0.0002716966148776113
PC2,0.1198920375514288,その他の技術 x 採取時の状況 x 細胞組成,0.03193448276439348,0.008617763380557149
PC2,0.1198920375514288,その他の技術 x 安定した個人属性 x 採取時の状況 x 細胞組成,0.018700668905585194,0.005046517924698151
PC3,0.06209946471086226,安定した個人属性 x 採取時の状況,0.0023461170480004456,0.0003279305443520563
PC3,0.06209946471086226,その他の技術 x 安定した個人属性,0.0024229550873604844,0.000338670647918397
PC3,0.06209946471086226,安定した個人属性 x 細胞組成,-0.0031429406272092675,-0.00043930725094272136
PC3,0.06209946471086226,その他の技術 x 採取時の状況,0.00645768771221461,0.0009026288984716163
PC3,0.06209946471086226,採取時の状況 x 細胞組成,0.013214887475536952,0.0018471223535489953
PC3,0.06209946471086226,その他の技術 x 細胞組成,0.012702744826731227,0.0017755371708097522
PC3,0.06209946471086226,その他の技術 x 安定した個人属性 x 採取時の状況,-0.0025720058926620992,-0.0003595043534491287
PC3,0.06209946471086226,安定した個人属性 x 採取時の状況 x 細胞組成,-0.0008344374557175682,-0.00011663421878905126
PC3,0.06209946471086226,その他の技術 x 安定した個人属性 x 細胞組成,0.00011465833100507417,1.602646761935344e-05
PC3,0.06209946471086226,その他の技術 x 採取時の状況 x 細胞組成,0.008474917895618578,0.0011845889961960058
PC3,0.06209946471086226,その他の技術 x 安定した個人属性 x 採取時の状況 x 細胞組成,0.0017861163080090114,0.0002496559554267256
PC4,0.048395714429030456,安定した個人属性 x 採取時の状況,0.001744076249258708,0.0001899838617967197
PC4,0.048395714429030456,その他の技術 x 安定した個人属性,-0.0006594135908910281,-7.183054099381673e-05
PC4,0.048395714429030456,安定した個人属性 x 細胞組成,0.004062129560084116,0.0004424915833074419
PC4,0.048395714429030456,その他の技術 x 採取時の状況,-0.0024163007914139445,-0.00026320991172857646
PC4,0.048395714429030456,採取時の状況 x 細胞組成,0.0483209734175688,0.005263648960043036
PC4,0.048395714429030456,その他の技術 x 細胞組成,0.005841016801558407,0.000636267439139344
PC4,0.048395714429030456,その他の技術 x 安定した個人属性 x 採取時の状況,0.0011310350779779321,0.00012320471196894758
PC4,0.048395714429030456,安定した個人属性 x 採取時の状況 x 細胞組成,0.007550126371827476,0.0008224423477945472
PC4,0.048395714429030456,その他の技術 x 安定した個人属性 x 細胞組成,-0.00013535136256270786,-1.474395088519826e-05
PC4,0.048395714429030456,その他の技術 x 採取時の状況 x 細胞組成,-0.003908240151350634,-0.0004257282656639459
PC4,0.048395714429030456,その他の技術 x 安定した個人属性 x 採取時の状況 x 細胞組成,0.003318734632632464,0.00036151287654655006
PC5,0.043870047877594874,安定した個人属性 x 採取時の状況,-0.0008275935650799426,-8.172022459115414e-05
PC5,0.043870047877594874,その他の技術 x 安定した個人属性,0.003488566866585413,0.00034447641918419276
PC5,0.043870047877594874,安定した個人属性 x 細胞組成,0.005550634844252722,0.0005480940708522816
PC5,0.043870047877594874,その他の技術 x 採取時の状況,0.0016302725932303697,0.00016098027834559093
PC5,0.043870047877594874,採取時の状況 x 細胞組成,0.0033420257554854227,0.00033000630605593064
