sample,individual,condition
AF147|L,AF147,L
AF147|NI,AF147,NI
AF147|S,AF147,S
AF149|L,AF149,L
AF149|NI,AF149,NI
AF149|S,AF149,S
AF151|L,AF151,L
AF151|NI,AF151,NI
AF151|S,AF151,S
AF153|L,AF153,L
AF153|NI,AF153,NI
AF153|S,AF153,S
AF155|L,AF155,L
AF155|NI,AF155,NI
AF155|S,AF155,S
AF157|L,AF157,L
AF157|NI,AF157,NI
AF157|S,AF157,S
AF159|L,AF159,L
AF159|NI,AF159,NI
AF159|S,AF159,S
AF161|NI,AF161,NI
AF163|L,AF163,L
AF163|NI,AF163,NI
AF163|S,AF163,S
AF165|L,AF165,L
AF165|NI,AF165,NI
AF165|S,AF165,S
AF167|L,AF167,L
AF167|NI,AF167,NI
AF167|S,AF167,S
AF169|L,AF169,L
AF169|NI,AF169,NI
AF169|S,AF169,S
AF171|L,AF171,L
AF171|NI,AF171,NI
AF171|S,AF171,S
AF173|L,AF173,L
AF173|NI,AF173,NI
AF173|S,AF173,S
AF175|L,AF175,L
AF175|NI,AF175,NI
AF175|S,AF175,S
AF177|L,AF177,L
AF177|NI,AF177,NI
AF177|S,AF177,S
AF179|L,AF179,L
AF179|NI,AF179,NI
AF179|S,AF179,S
AF181|L,AF181,L
AF181|NI,AF181,NI
AF181|S,AF181,S
AF183|L,AF183,L
AF183|NI,AF183,NI
AF183|S,AF183,S
AF185|L,AF185,L
AF185|NI,AF185,NI
AF185|S,AF185,S
AF187|L,AF187,L
AF187|NI,AF187,NI
AF187|S,AF187,S
AF189|L,AF189,L
AF189|NI,AF189,NI
AF189|S,AF189,S
AF191|L,AF191,L
AF191|NI,AF191,NI
AF191|S,AF191,S
AF193|L,AF193,L
AF193|NI,AF193,NI
AF193|S,AF193,S
AF195|L,AF195,L
AF195|NI,AF195,NI
AF195|S,AF195,S
AF55|L,AF55,L
AF55|S,AF55,S
AF89|S,AF89,S
AF91|S,AF91,S
AF93|L,AF93,L
AF93|NI,AF93,NI
AF93|S,AF93,S
AF95|L,AF95,L
AF95|NI,AF95,NI
AF95|S,AF95,S
AF97|L,AF97,L
AF97|NI,AF97,NI
AF97|S,AF97,S
EU104|L,EU104,L
EU104|NI,EU104,NI
EU104|S,EU104,S
EU110|L,EU110,L
EU110|NI,EU110,NI
EU110|S,EU110,S
EU118|L,EU118,L
EU118|NI,EU118,NI
EU118|S,EU118,S
EU120|L,EU120,L
EU120|NI,EU120,NI
EU120|S,EU120,S
EU122|L,EU122,L
EU122|NI,EU122,NI
EU122|S,EU122,S
EU126|L,EU126,L
EU126|NI,EU126,NI
EU126|S,EU126,S
EU128|L,EU128,L
EU128|NI,EU128,NI
EU128|S,EU128,S
EU130|L,EU130,L
EU130|NI,EU130,NI
EU130|S,EU130,S
EU134|L,EU134,L
EU134|NI,EU134,NI
EU134|S,EU134,S
EU136|L,EU136,L
EU136|NI,EU136,NI
EU136|S,EU136,S
EU138|L,EU138,L
EU138|NI,EU138,NI
EU138|S,EU138,S
EU140|L,EU140,L
EU140|NI,EU140,NI
EU140|S,EU140,S
EU144|L,EU144,L
EU144|NI,EU144,NI
EU144|S,EU144,S
EU148|L,EU148,L
EU148|NI,EU148,NI
EU148|S,EU148,S
EU152|L,EU152,L
EU152|NI,EU152,NI
EU152|S,EU152,S
EU156|L,EU156,L
EU156|NI,EU156,NI
EU156|S,EU156,S
EU162|L,EU162,L
EU162|NI,EU162,NI
EU162|S,EU162,S
EU164|L,EU164,L
EU164|NI,EU164,NI
EU164|S,EU164,S
EU168|L,EU168,L
EU168|NI,EU168,NI
EU168|S,EU168,S
EU170|L,EU170,L
EU170|NI,EU170,NI
EU170|S,EU170,S
EU184|L,EU184,L
EU184|NI,EU184,NI
EU184|S,EU184,S
EU190|L,EU190,L
EU190|NI,EU190,NI
EU190|S,EU190,S
EU200|L,EU200,L
EU200|NI,EU200,NI
EU200|S,EU200,S
EU202|L,EU202,L
EU202|NI,EU202,NI
EU202|S,EU202,S
EU210|L,EU210,L
EU210|NI,EU210,NI
EU210|S,EU210,S
EU212|L,EU212,L
EU212|NI,EU212,NI
EU212|S,EU212,S
EU214|L,EU214,L
EU214|NI,EU214,NI
EU214|S,EU214,S
EU224|L,EU224,L
EU224|NI,EU224,NI
EU224|S,EU224,S
EU232|L,EU232,L
EU232|NI,EU232,NI
EU232|S,EU232,S
EU238|L,EU238,L
EU238|NI,EU238,NI
EU238|S,EU238,S
EU240|L,EU240,L
EU240|S,EU240,S
EU242|L,EU242,L
EU242|NI,EU242,NI
EU242|S,EU242,S
EU246|L,EU246,L
EU248|L,EU248,L
EU248|NI,EU248,NI
EU248|S,EU248,S
EU252|NI,EU252,NI
EU252|S,EU252,S
EU254|L,EU254,L
EU254|NI,EU254,NI
EU254|S,EU254,S
EU258|L,EU258,L
EU258|NI,EU258,NI
EU258|S,EU258,S
EU260|L,EU260,L
EU260|NI,EU260,NI
EU260|S,EU260,S
EU262|L,EU262,L
EU262|NI,EU262,NI
EU262|S,EU262,S
EU264|L,EU264,L
EU264|NI,EU264,NI
EU264|S,EU264,S
EU266|L,EU266,L
EU266|NI,EU266,NI
EU266|S,EU266,S
EU268|L,EU268,L
EU268|NI,EU268,NI
EU268|S,EU268,S
EU270|L,EU270,L
EU270|NI,EU270,NI
EU270|S,EU270,S
EU272|L,EU272,L
EU272|NI,EU272,NI
EU272|S,EU272,S
EU274|L,EU274,L
EU274|NI,EU274,NI
EU274|S,EU274,S
EU276|L,EU276,L
EU276|NI,EU276,NI
EU276|S,EU276,S
EU278|L,EU278,L
EU278|NI,EU278,NI
EU278|S,EU278,S
EU280|L,EU280,L
EU280|NI,EU280,NI
EU280|S,EU280,S
EU282|L,EU282,L
EU282|NI,EU282,NI
EU282|S,EU282,S
