pc,var_ratio,shared_between,value,weighted
PC1,0.29316847175820326,安定した個人属性 x 採取時の状況,0.0028935703551653535,0.00138819098102078
PC1,0.29316847175820326,その他の技術 x 安定した個人属性,0.00041582671713402686,0.00019949295421916512
PC1,0.29316847175820326,安定した個人属性 x 血球組成,0.0018805742142047333,0.0009022058712479684
PC1,0.29316847175820326,その他の技術 x 採取時の状況,0.010190351325706781,0.004888823172564926
PC1,0.29316847175820326,採取時の状況 x 血球組成,0.3912496769925331,0.18770211408849283
PC1,0.29316847175820326,その他の技術 x 血球組成,0.009360048352047734,0.004490485147885254
PC1,0.29316847175820326,その他の技術 x 安定した個人属性 x 採取時の状況,-0.0008853553025726102,-0.00042474939095095464
PC1,0.29316847175820326,安定した個人属性 x 採取時の状況 x 血球組成,0.07965206171401151,0.038213093209818534
PC1,0.29316847175820326,その他の技術 x 安定した個人属性 x 血球組成,-0.0014690929791106866,-0.0007047976629432478
PC1,0.29316847175820326,その他の技術 x 採取時の状況 x 血球組成,0.1941507102652148,0.0931438437181349
PC1,0.29316847175820326,その他の技術 x 安定した個人属性 x 採取時の状況 x 血球組成,0.0358719847850818,0.017209592177730042
PC2,0.13689517059310888,安定した個人属性 x 採取時の状況,0.004897780664584184,0.001097198912986452
PC2,0.13689517059310888,その他の技術 x 安定した個人属性,0.0027717357725146052,0.0006209231660125554
PC2,0.13689517059310888,安定した個人属性 x 血球組成,0.003966761319755041,0.0008886323227137494
PC2,0.13689517059310888,その他の技術 x 採取時の状況,0.034172743044468934,0.007655364559968484
PC2,0.13689517059310888,採取時の状況 x 血球組成,0.0172939662456566,0.0038741875689057145
PC2,0.13689517059310888,その他の技術 x 血球組成,0.09159210803397533,0.020518428295430272
PC2,0.13689517059310888,その他の技術 x 安定した個人属性 x 採取時の状況,-0.0012749117616053796,-0.00028560523526543515
PC2,0.13689517059310888,安定した個人属性 x 採取時の状況 x 血球組成,-0.006970076113469448,-0.001561433730675398
PC2,0.13689517059310888,その他の技術 x 安定した個人属性 x 血球組成,-0.00393475968081447,-0.0008814633280478032
PC2,0.13689517059310888,その他の技術 x 採取時の状況 x 血球組成,-0.020659702294519355,-0.004628178445000827
PC2,0.13689517059310888,その他の技術 x 安定した個人属性 x 採取時の状況 x 血球組成,0.0018218620348054437,0.0004081328220053167
PC3,0.08286980358276266,安定した個人属性 x 採取時の状況,0.0293383629637175,0.003978598327014723
PC3,0.08286980358276266,その他の技術 x 安定した個人属性,-0.001116164311492196,-0.00015136391447158288
PC3,0.08286980358276266,安定した個人属性 x 血球組成,0.0013613718524393414,0.00018461670070884506
PC3,0.08286980358276266,その他の技術 x 採取時の状況,0.04563942257377196,0.0061891977586645405
PC3,0.08286980358276266,採取時の状況 x 血球組成,-0.059544002771914184,-0.008074808744614416
PC3,0.08286980358276266,その他の技術 x 血球組成,0.004264266754236856,0.0005782805467139636
PC3,0.08286980358276266,その他の技術 x 安定した個人属性 x 採取時の状況,0.004640697303005092,0.0006293285875817752
PC3,0.08286980358276266,安定した個人属性 x 採取時の状況 x 血球組成,0.0006655970506554976,9.026213614845628e-05
