pc,var_ratio,group,paper_sum,paper_sum_capped,oneway_group,unique,shapley,w_paper_sum,w_paper_sum_capped,w_oneway_group,w_unique,w_shapley
PC1,0.29316847175820326,安定した個人属性,0.11511571403147638,0.115391843542633,0.11305534956437419,-0.005304219939539667,0.03202463304409215,0.05522678780109733,0.055359260991630604,0.05423832751854666,-0.0025447006215954886,0.015363824378055708
PC1,0.29316847175820326,採取時の状況,1.248773692997648,1.2493103635463456,0.7265245275665523,0.013401527431411653,0.31550879518993596,0.5990994395075921,0.5993569073151923,0.34855029353541916,0.006429385578608168,0.15136541025641412
PC1,0.29316847175820326,その他の技術,0.27689230611603355,0.23732794117456,0.22178286171937373,-0.025851611444127953,0.05703158527743056,0.1328391415740632,0.11385812924667166,0.10640037413785979,-0.012402315978780215,0.02736091492440051
PC1,0.29316847175820326,血球組成,2.736550923678915,2.7351047980952012,0.8583707334186822,0.1476747700746992,0.44866580905040104,1.312860876036335,1.3121670969861208,0.41180353827474636,0.07084700172438006,0.21524751541096235
PC2,0.13689517059310888,安定した個人属性,0.002829215921023493,0.0027669639075383117,0.0033149433491554466,0.0020365511133853542,0.004250239648550566,0.0006337998464483065,0.0006198541746829177,0.0007426123153299302,0.0004562273856004669,0.0009521370272953034
PC2,0.13689517059310888,採取時の状況,0.021663403183150194,0.021843642268702074,0.02207137409783283,-0.0072102877220882045,0.011792526040769963,0.004853027126350013,0.004893404215952081,0.00494442061143534,-0.0016152458414889807,0.002641757081295456
PC2,0.13689517059310888,その他の技術,0.45162498463269296,0.2437563526440828,0.24858861529753887,0.14409954014871373,0.2002001745039148,0.10117285279833639,0.05460620298670235,0.05568872458040609,0.03228112274530352,0.04484876495873916
PC2,0.13689517059310888,血球組成,0.34767280677744977,0.3479877175982301,0.1814021609805435,0.09829200143515432,0.14465237204728143,0.0778855264854031,0.0779560726845717,0.04063764130567563,0.022019335800344604,0.032404967931462796
PC3,0.08286980358276266,安定した個人属性,0.04464717364566873,0.04541516649541462,0.04513748629654052,-0.0025018763753893447,0.01729392450891113,0.0060546381061639615,0.006158786216640917,0.006121129787887483,-0.00033928141027608403,0.0023452426164256
PC3,0.08286980358276266,採取時の状況,0.302848693333324,0.3034221160385919,0.21078715393093367,0.17864714340355387,0.19091819561648937,0.04106954795414671,0.04114731025529053,0.028585010657307064,0.02422647871492816,0.025890565694337096
PC3,0.08286980358276266,その他の技術,0.11328473688075046,0.07255421275971868,0.057941050091490066,-0.007461622364337117,0.02145594086657112,0.015362631691054184,0.00983913348746402,0.007857431079047112,-0.0010118764394687154,0.0029096569069595435
PC3,0.08286980358276266,血球組成,0.2938266575736672,0.294987442689498,0.2641548167048485,0.30543313368312547,0.28167271890570655,0.03984606263480464,0.04000347761142005,0.03582224110849373,0.041420025929509746,0.038197857514744304
PC4,0.06558896205029993,安定した個人属性,-0.00115503610882921,-0.0007977007284169445,-0.0013974930968952814,-0.001487974265480474,-0.0008654107715165278,-0.00012397217726761042,-8.561870521091234e-05,-0.00014999553746780864,-0.00015970704984865895,-9.288615027325565e-05
PC4,0.06558896205029993,採取時の状況,0.0641013984529502,0.06418593776699266,0.06895031877772084,0.018111656572296353,0.04071935480626093,0.006880122509906679,0.006889196271970429,0.0074005661613768614,0.0019439578399559913,0.004370484207096714
PC4,0.06558896205029993,その他の技術,0.11855717060410856,0.05221812981542512,0.04792357569579144,0.046851378398322374,0.04360948912820143,0.012724961980086607,0.0056046691498007496,0.00514372665585202,0.005028645722527413,0.004680687707877305
PC4,0.06558896205029993,血球組成,0.6521459922184341,0.6526244374246676,0.31601119200943223,0.28780750398478316,0.2983182614923486,0.06999604422204259,0.07004739663731915,0.03391806993294187,0.03089091555684506,0.03201905474053307
PC5,0.03256324993056438,安定した個人属性,0.00885434840482804,0.009277294958616915,0.01013372262577294,0.0017068906495114056,0.004241953275857565,0.00047182642293143706,0.000494364203289907,0.0005400011247457428,9.095599954649904e-05,0.00022604324439038563
PC5,0.03256324993056438,採取時の状況,0.03129732754290386,0.03201841873649555,0.025234673775424814,0.005356913720267142,0.014379891842408444,0.0016677575160505172,0.001706182690092032,0.001344693625880838,0.00028545674091701493,0.0007662690262385598
PC5,0.03256324993056438,その他の技術,0.07412781274781825,0.014699193311800609,0.017692827220448196,-0.0027200379966753063,0.0064544011924226145,0.003950088603861948,0.000783283815272376,0.0009428071945323633,-0.0001449441268325409,0.00034393914577888216
PC5,0.03256324993056438,血球組成,0.17006304917644222,0.17042715606129413,0.2715059018314536,0.2433388767732165,0.2558845003834541,0.009062241115560907,0.00908164347485261,0.014467880933627724,0.012966929528711072,0.013635454917686609
