family,n_sets,median_size,ic_median,ic_null_median,ic_above_null_frac,ic_above_varnull_frac,varnull_median,split_half_median,split_half_null_median,alpha_median,alpha_null_median,cond_effect_sig_frac,cond_effect_d_median,direction_sig_frac,cross_rho_median,method_agreement_median
anchor,2,6.0,-0.0144,0.0383,0.0,0.0,-0.0011,-0.0615,0.1073,-0.159,0.1861,1.0,0.9523,0.0,0.4204,0.3609
celltype,16,107.0,0.0596,0.0243,0.375,1.0,0.0034,0.7883,0.5856,0.8743,0.7456,1.0,1.5729,0.6875,0.2854,0.6699
complex,607,4.0,0.024,0.0156,0.0115,0.0297,0.0194,0.0884,0.0477,0.1199,0.065,0.8781,0.6319,0.0198,0.1683,0.5636
data_derived,61,9.0,0.3639,0.0176,0.918,0.9508,0.0061,0.7385,0.0785,0.8466,0.1303,0.8852,0.6044,0.1148,0.2115,0.9146
pathway,554,17.0,0.0412,0.0165,0.0307,0.1408,0.0155,0.3146,0.1238,0.475,0.23,0.9242,0.996,0.1805,0.1554,0.4363
regulon,25,9.0,0.0446,0.0156,0.0,0.08,0.0028,0.136,0.0614,0.2433,0.135,1.0,0.9056,0.08,0.1512,0.5428
signature,10,111.5,0.0552,0.0182,0.5,0.7,0.0179,0.793,0.4427,0.8752,0.6497,0.9,0.9966,0.6,0.1983,0.638
