,n_sets,cond_effect,coherent,cond_only,both,ic_median,coverage_median,coh_data_derived,coh_celltype,coh_pathway,coh_signature,coh_complex,coh_regulon
0.3,3129.0,0.9057206775327581,0.0821348673697667,0.8341323106423778,0.07158836689038031,0.0258496986274461,0.7384615384615385,0.9836065573770492,0.4827586206896552,0.06898517673888255,0.16666666666666666,0.044270833333333336,0.0136986301369863
0.5,2647.0,0.9081979599546657,0.09633547412164714,0.8231960710238005,0.08500188893086513,0.0278750472451698,0.7777777777777778,0.9672131147540983,0.6585365853658537,0.08665749656121045,0.25,0.03679369250985545,0.017361111111111112
0.6 (既定),2195.0,0.9075170842824601,0.11070615034168566,0.8091116173120729,0.09840546697038724,0.0306025100429299,0.8235294117647058,0.9836065573770492,0.6764705882352942,0.10324232081911262,0.22857142857142856,0.036241610738255034,0.0273972602739726
0.8,1275.0,0.9027450980392157,0.12470588235294118,0.7898039215686274,0.11294117647058824,0.0400127872690135,0.9310344827586208,0.9672131147540983,0.75,0.10288808664259928,0.7,0.03459637561779242,0.12
