family,n_sets,median_size,ic_median,ic_null_median,ic_above_null_frac,ic_above_varnull_frac,varnull_median,split_half_median,split_half_null_median,alpha_median,alpha_null_median,cond_effect_sig_frac,cond_effect_d_median,direction_sig_frac,cross_rho_median,method_agreement_median
anchor,2,6.0,-0.0144,0.035,0.0,0.0,-0.0005,-0.0085,0.0778,-0.159,0.1733,1.0,0.9523,0.0,0.4204,0.3609
celltype,41,101.0,0.0524,0.0193,0.6585,1.0,0.0033,0.7548,0.4886,0.8509,0.665,0.9268,1.0767,0.3902,0.3386,0.604
complex,761,4.0,0.0226,0.0154,0.0604,0.067,0.0173,0.097,0.0515,0.1059,0.0765,0.8817,0.65,0.021,0.1647,0.5546
data_derived,61,9.0,0.3639,0.0175,0.9672,1.0,0.0049,0.7259,0.0779,0.8466,0.1665,0.8852,0.6044,0.1148,0.2115,0.9146
pathway,1454,18.0,0.0294,0.0159,0.1224,0.2015,0.0146,0.2708,0.1281,0.4106,0.2436,0.9278,0.9337,0.1286,0.1568,0.4062
regulon,288,8.0,0.0113,0.0155,0.0208,0.1215,0.0024,0.0695,0.0671,0.1201,0.1356,0.8819,0.8206,0.0174,0.185,0.4904
signature,40,122.0,0.0237,0.0154,0.25,0.575,0.0092,0.6162,0.476,0.7442,0.6458,0.9,1.1991,0.45,0.1891,0.3953
