family,n_sets,median_size,ic_median,ic_null_median,ic_above_null_frac,ic_above_varnull_frac,varnull_median,split_half_median,split_half_null_median,alpha_median,alpha_null_median,cond_effect_sig_frac,cond_effect_d_median,direction_sig_frac,cross_rho_median,method_agreement_median
anchor,2,6.0,-0.0144,0.0376,0.0,0.0,-0.0004,-0.0123,0.1245,-0.159,0.1831,1.0,0.9523,0.0,0.4204,0.3609
celltype,58,90.5,0.047,0.017,0.2759,0.7759,0.0033,0.7339,0.4149,0.8369,0.6066,0.8793,0.9946,0.2759,0.2881,0.5885
complex,768,4.0,0.0227,0.0158,0.0065,0.0247,0.019,0.0884,0.0485,0.1048,0.0648,0.8815,0.6528,0.0234,0.1647,0.5545
data_derived,61,9.0,0.3639,0.018,0.8689,0.8852,0.0061,0.7245,0.0697,0.8466,0.1296,0.8852,0.6044,0.1148,0.2115,0.9146
pathway,1754,17.0,0.0274,0.0153,0.0165,0.0621,0.0136,0.2422,0.1153,0.3683,0.2142,0.9219,0.8919,0.1117,0.1606,0.4147
regulon,438,8.0,0.0103,0.0141,0.0,0.0137,0.0026,0.0704,0.0599,0.1157,0.1022,0.8927,0.8159,0.0137,0.1826,0.4947
signature,48,103.0,0.0233,0.0147,0.125,0.3958,0.0072,0.5844,0.4269,0.7273,0.6141,0.875,1.106,0.375,0.1902,0.3953
