set,family,n_genes,n_dropped,ic_raw,ic_corrected,null_raw,null_corrected,p_raw,p_corrected,q_raw,q_corrected,pass_raw,pass_corrected
pathway|Nicotinamide Salvaging,pathway,12,0,0.00208165040700926,-0.0008673262735180936,0.03625101079144141,0.07988039898371087,0.7626186906546727,0.7781109445277361,0.8323484080345535,0.843054998322435,False,False
pathway|Noncanonical Activation of NOTCH3,pathway,6,0,0.3428206880838461,0.5992008734827405,0.03918119845067211,0.08485036449598092,0.0029985007496251873,0.013493253373313344,0.01518996599261345,0.04882489069054323,True,True
pathway|Nonsense Mediated Decay (NMD) Enhanced by the Exon Junction Complex (EJC),pathway,90,2,0.22571822815465636,0.4500601423155793,0.04217114945177038,0.08781462164849549,0.0004997501249375312,0.0004997501249375312,0.003264091224827838,0.003233585699362157,True,True
pathway|Nonsense Mediated Decay (NMD) Independent of the Exon Junction Complex (EJC),pathway,74,1,0.33569688753538784,0.6615502364032,0.04365518254422363,0.08899094306782718,0.0004997501249375312,0.0004997501249375312,0.003264091224827838,0.003233585699362157,True,True
pathway|Nonsense-Mediated Decay (NMD),pathway,90,2,0.22571822815465636,0.4500601423155793,0.042074714714945345,0.08749372836450806,0.0004997501249375312,0.0004997501249375312,0.003264091224827838,0.003233585699362157,True,True
pathway|Notch-HLH Transcription Pathway,pathway,21,0,0.09627054649611039,0.20252906852730085,0.0484027378511213,0.10846296047428332,0.07296351824087956,0.10194902548725637,0.17976895300866766,0.2138869958959914,False,False
pathway|Nuclear Envelope (NE) Reassembly,pathway,56,0,0.08338891798563706,0.20885404292227513,0.04724182268688249,0.10445699996615004,0.02848575712143928,0.0074962518740629685,0.09005314694251047,0.031774928862099566,False,True
pathway|Nuclear Envelope Breakdown,pathway,44,0,0.17868407324288038,0.45597712160664106,0.05109922525177059,0.11338872639505745,0.0004997501249375312,0.0004997501249375312,0.003264091224827838,0.003233585699362157,True,True
pathway|Nuclear Events (Kinase and Transcription Factor Activation),pathway,43,3,0.05489433338707686,0.14487188097509343,0.03860410248666062,0.08397951339390461,0.18340829585207397,0.08245877061469266,0.335038725140508,0.18415792103948025,False,False
pathway|Nuclear Pore Complex (NPC) Disassembly,pathway,29,0,0.2998535299287179,0.8256498824426589,0.05341677528460649,0.1184213314919178,0.0004997501249375312,0.0004997501249375312,0.003264091224827838,0.003233585699362157,True,True
pathway|Nuclear Events Mediated by NFE2L2,pathway,69,1,0.14795038048504192,0.3867077585127894,0.046547506204478874,0.10246674734771671,0.0004997501249375312,0.0004997501249375312,0.003264091224827838,0.003233585699362157,True,True
pathway|Nuclear Events Stimulated by ALK Signaling in Cancer,pathway,31,1,0.03944788657861663,0.10584533918114195,0.0509404981662367,0.11104479890999432,0.6721639180409795,0.4992503748125937,0.7658170366270513,0.625041005717756,False,False
pathway|Nuclear Import of Rev Protein,pathway,29,0,0.2924104933179343,0.7466975468717836,0.050192330524026135,0.11018072314998016,0.0004997501249375312,0.0004997501249375312,0.003264091224827838,0.003233585699362157,True,True
pathway|Nucleotide Excision Repair,pathway,92,1,0.1133343609643054,0.2956067684130678,0.03689574682427738,0.08168328741238816,0.0004997501249375312,0.0004997501249375312,0.003264091224827838,0.003233585699362157,True,True
pathway|Nucleotide Biosynthesis,pathway,12,0,0.16205803765612375,0.431229588479907,0.03710434402121004,0.08183767103674428,0.014992503748125937,0.0074962518740629685,0.0547265910102945,0.031774928862099566,False,True
pathway|Nucleotide Salvage,pathway,18,1,0.13431216186634146,0.322879603293008,0.06542461367322046,0.14591392677404366,0.0544727636181909,0.04447776111944028,0.14579887891105994,0.11768192336952543,False,False
"pathway|Nucleotide-binding Domain, Leucine Rich Repeat Containing Receptor (NLR) Signaling Pathways",pathway,49,1,0.046753188630202586,0.09813757898701843,0.04317094411585549,0.095508385222708,0.3873063468265867,0.4407796101949025,0.5417072608476906,0.5776020507096609,False,False
pathway|OAS Antiviral Response,pathway,8,0,0.1774021091690265,0.3594045517762507,0.01771069719753929,0.03883649513002136,0.01249375312343828,0.031984007996002,0.04761380777501158,0.09150245813732252,True,False
pathway|Oncogene Induced Senescence,pathway,27,0,0.029446966289071556,0.07673448150562354,0.04601909289540868,0.10116600205478701,0.7381309345327336,0.6376811594202898,0.8154776335236636,0.7354046463719832,False,False
pathway|Oncogenic MAPK Signaling,pathway,59,2,0.06233123055233856,0.1360791262994549,0.044130743694153825,0.0968595385113133,0.11544227886056972,0.13543228385807096,0.24466695223816665,0.26587226235653444,False,False
pathway|Opioid Signalling,pathway,53,1,0.05480656384330665,0.1379582000425191,0.044265476430223195,0.09752483118508087,0.24737631184407796,0.1469265367316342,0.4020348980439358,0.2779293413402588,False,False
pathway|Orc1 Removal From Chromatin,pathway,47,1,0.17239107355471345,0.46366648825303797,0.04787871338214343,0.10529759740379296,0.0004997501249375312,0.0004997501249375312,0.003264091224827838,0.003233585699362157,True,True
pathway|Other Interleukin Signaling,pathway,16,0,0.05247778537252221,0.13522151270236413,0.030888480006835264,0.06944797753751453,0.23338330834582707,0.1904047976011994,0.3862447262424564,0.3340124701162932,False,False
pathway|Ovarian Tumor Domain Proteases,pathway,29,0,0.06367256026317472,0.14005523053618749,0.03771895390064951,0.08293138040547716,0.13093453273363317,0.1409295352323838,0.2668802988103593,0.2712795594788333,False,False
pathway|Oxygen-dependent Proline Hydroxylation of Hypoxia-inducible Factor Alpha,pathway,45,0,0.17688242645180444,0.46937926117108225,0.044742993951821686,0.09790331959110146,0.0004997501249375312,0.0004997501249375312,0.003264091224827838,0.003233585699362157,True,True
pathway|PCNA-Dependent Long Patch Base Excision Repair,pathway,17,1,0.15026436411885324,0.38320621713238423,0.02676277868803023,0.059517882259670724,0.004497751124437781,0.0024987506246876563,0.02108765030577262,0.012475733287202553,True,True
pathway|PCP CE Pathway,pathway,61,0,0.1292241034777704,0.3353298972489914,0.040525077279637244,0.08874850513243024,0.0004997501249375312,0.0004997501249375312,0.003264091224827838,0.003233585699362157,True,True
pathway|PDH Complex Synthesizes acetyl-CoA From PYR,pathway,5,0,0.4790088858509911,0.8738590886874075,0.07430985987696513,0.16637984290267524,0.0004997501249375312,0.0069965017491254375,0.003264091224827838,0.030148826001936795,True,True
pathway|PECAM1 Interactions,pathway,12,0,0.052468982373288564,0.09559050803789118,0.028630964290892513,0.06039230451362407,0.255872063968016,0.296351824087956,0.41070036851744146,0.44123493808651226,False,False
