family,n_sets,median_size,ic_median,ic_null_median,ic_above_null_frac,ic_above_varnull_frac,varnull_median,split_half_median,split_half_null_median,alpha_median,alpha_null_median,cond_effect_sig_frac,cond_effect_d_median,direction_sig_frac,cross_rho_median,method_agreement_median
anchor,2,6.0,-0.0144,0.0371,0.0,0.0,-0.0011,-0.0493,0.0713,-0.159,0.1808,1.0,0.9523,0.0,0.4204,0.3609
celltype,34,105.0,0.0512,0.0199,0.3235,1.0,0.0033,0.7572,0.5413,0.8514,0.6918,0.9118,1.0406,0.4118,0.3566,0.5984
complex,745,4.0,0.0228,0.0158,0.0081,0.0282,0.0191,0.0912,0.0412,0.1173,0.0654,0.8819,0.6485,0.0188,0.1647,0.5574
data_derived,61,9.0,0.3639,0.0182,0.9016,0.9344,0.0062,0.7245,0.0794,0.8466,0.1314,0.8852,0.6044,0.1148,0.2115,0.9146
pathway,1172,20.0,0.0321,0.016,0.0239,0.0964,0.015,0.2962,0.133,0.443,0.2479,0.9275,0.9482,0.1425,0.1572,0.4054
regulon,146,8.0,0.0082,0.0148,0.0,0.0274,0.0028,0.0704,0.0524,0.1071,0.115,0.8904,0.821,0.0137,0.185,0.491
signature,35,125.0,0.0243,0.0159,0.1714,0.5143,0.0099,0.6112,0.4574,0.7573,0.6495,0.8857,1.0057,0.4857,0.2084,0.4284
