family,n_sets,median_size,ic_median,ic_null_median,ic_above_null_frac,ic_above_varnull_frac,varnull_median,split_half_median,split_half_null_median,alpha_median,alpha_null_median,cond_effect_sig_frac,cond_effect_d_median,direction_sig_frac,cross_rho_median,method_agreement_median
anchor,2,6.0,-0.0144,0.0353,0.0,0.0,-0.0011,-0.029,0.1435,-0.159,0.1735,1.0,0.9523,0.0,0.4204,0.3546
celltype,40,109.0,0.0485,0.0167,0.375,0.975,0.0031,0.7556,0.5026,0.853,0.6515,0.9,0.9224,0.35,0.3121,0.5874
complex,816,4.0,0.0188,0.0147,0.0086,0.027,0.0165,0.0893,0.0424,0.0954,0.0598,0.8909,0.6366,0.0172,0.1561,0.5351
data_derived,64,9.0,0.3743,0.0177,0.875,0.9375,0.0049,0.7117,0.0794,0.8385,0.1437,0.875,0.588,0.0938,0.2117,0.9113
pathway,1399,19.0,0.0262,0.014,0.02,0.0972,0.0117,0.2576,0.1192,0.3949,0.2182,0.9278,0.922,0.1315,0.1508,0.3852
regulon,269,9.0,0.0092,0.0105,0.0,0.0186,0.0021,0.0631,0.0436,0.1056,0.0966,0.855,0.8139,0.0186,0.1767,0.4663
signature,41,130.0,0.0205,0.0135,0.1463,0.4146,0.007,0.5922,0.4215,0.7288,0.6216,0.9512,1.1811,0.4634,0.2049,0.3997
