pc,var_ratio,group,paper_sum,paper_sum_capped,oneway_group,unique,shapley,w_paper_sum,w_paper_sum_capped,w_oneway_group,w_unique,w_shapley
PC1,0.15536177757334232,chip,0.617568691135059,0.6126620548117945,0.6146400553373037,0.6087707008482314,0.6128887383251753,0.27170853021948427,0.26954978259698836,0.2704200333452439,0.2678377235480424,0.2696495153799643
PC1,0.15536177757334232,position,-0.03984487277934057,-0.0411116362853102,-0.040754052886343865,-0.046528078646191684,-0.04245770553385985,-0.017530344356931356,-0.018087675800839375,-0.017930351666441535,-0.020470720171480584,-0.01867989898563986
PC1,0.15536177757334232,batch,-0.003978150985934083,-0.004451812623453078,-0.004918194182078894,-0.010435832335103923,-0.006493653026183488,-0.0017502466897936632,-0.0019586411715720384,-0.0021638326743711658,-0.004591399638761716,-0.0028569792232452425
PC2,0.06322527959540074,chip,0.2354294088246418,0.2258263100020555,0.2243530436519911,0.20366970749864569,0.2137208625870507,0.042152689726430916,0.0404332934662031,0.040169511045609625,0.036466242810209014,0.038265861744602
PC2,0.06322527959540074,position,0.01399865497889232,0.014904474348539212,0.01390858321494541,-0.00552748422475835,0.003900036506825827,0.002506402929262434,0.0026685862479376163,0.0024902759418239427,-0.0009896738417566502,0.0006982858667263302
PC2,0.06322527959540074,batch,-0.005124659457195072,-0.003739929413738516,-0.004423574954539056,-0.002163112612846907,-0.003583856771960684,-0.0009175496856200476,-0.0006696193349977598,-0.0007920233222824908,-0.0003872966222354174,-0.00064167515556627
PC3,0.05182987123667996,chip,0.07361335381637901,0.07144709929393417,0.06988046850443552,0.0563513601978709,0.06186272072461318,0.010804646330362624,0.010486692959633883,0.010256749739644041,0.00827100635424924,0.00907993976379214
PC3,0.05182987123667996,position,0.017260525951948387,0.01731094094403366,0.022345579530693258,0.00618937864169522,0.013014285459654213,0.0025334245584304974,0.002540824250619338,0.0032797864974114434,0.0009084499450334451,0.0019101799380679444
PC3,0.05182987123667996,batch,-0.0033886201066328355,-0.004120117327893288,-0.004277910634341349,-0.0005684719069757316,-0.0036763848971985663,-0.0004973668485673191,-0.0006047328135398817,-0.0006278930253911517,-8.343782187862974e-05,-0.0005396037067893907
PC4,0.04529221328055323,chip,0.2721635702918605,0.28412574173478045,0.28084235198453744,0.24646406069039967,0.2622480939580794,0.0349081921899721,0.03644248195289315,0.03602134844000913,0.031611926567817826,0.033636415246630386
PC4,0.04529221328055323,position,0.00883103977692546,0.0098698984692102,0.01007946041792078,-0.015807021225464124,-0.004268892783160826,0.0011326851475368883,0.0012659310439278328,0.0012928098388137507,-0.002027437155890265,-0.0005475359158213528
PC4,0.04529221328055323,batch,0.0005020276195274722,0.00019957235057612484,0.0013710568536510273,-0.007909244412598715,-0.004674206158862998,6.439097123963361e-05,2.559751094624807e-05,0.00017585423390538126,-0.0010144540054952242,-0.0005995221430780172
PC5,0.037413999316921936,chip,0.371370176391282,0.3683347783491582,0.3737189101128304,0.3439136634554575,0.3583671447154596,0.039347303850909524,0.03902569824910141,0.03959615619630969,0.03643823945680468,0.03796961045801704
PC5,0.037413999316921936,position,0.015052519151652316,0.014170339071556112,0.016507400971726365,-0.012987351538715941,0.0013108826478208614,0.0015948400879602844,0.0015013716032260863,0.0017489872992358148,-0.001376032055611318,0.00013889025327210714
PC5,0.037413999316921936,batch,-0.0027967642774380606,-0.0033274637182951552,-0.002942937963506793,-0.006901338879863939,-0.005371280490369714,-0.00029632194726315165,-0.00035255045854487257,-0.0003118092987156656,-0.0007312086299520003,-0.000569096332873974
