pc,var_ratio,shared_between,value,weighted
PC1,0.15536177757334232,chip x position,0.006612951745171292,0.0029094664688885845
PC1,0.15536177757334232,batch x chip,0.006356564138348508,0.0027966649282400893
PC1,0.15536177757334232,batch x position,0.006261235409124044,0.0027547236360776508
PC1,0.15536177757334232,batch x chip x position,-0.007100161394447468,-0.003123821599927166
PC2,0.06322527959540074,chip x position,0.020318394002567547,0.0036379268095921903
PC2,0.06322527959540074,batch x chip,-0.0013781357788283655,-0.00024674967403547657
PC2,0.06322527959540074,batch x position,-0.002625404492470007,-0.000470068125855493
PC2,0.06322527959540074,batch x chip x position,0.0017430779296062349,0.0003120910998438982
PC3,0.05182987123667996,chip x position,0.012937793081844062,0.0018989527211791624
PC3,0.05182987123667996,batch x chip,-0.006927846534519597,-0.001016839034711359
PC3,0.05182987123667996,batch x position,-0.004300753952086178,-0.0006312458677281634
PC3,0.05182987123667996,batch x chip x position,0.007519161759240153,0.0011036296989270001
PC4,0.04529221328055323,chip x position,0.021276898697469016,0.002729013541898073
PC4,0.04529221328055323,batch x chip,0.004670718320333833,0.0005990747865946602
PC4,0.04529221328055323,batch x position,-0.003821091330419024,-0.0004901000908926298
PC4,0.04529221328055323,batch x chip x position,0.008430674276334926,0.0010813335436985743
PC5,0.037413999316921936,chip x position,0.026323372919676014,0.0027890062759374826
PC5,0.037413999316921936,batch x chip,0.0007870213255908309,8.338625232668247e-05
PC5,0.037413999316921936,batch x position,0.0004765271786602021,5.0488867668803426e-05
PC5,0.037413999316921936,batch x chip x position,0.002694852412106097,0.0002855242112408471
