,n_sets,pass_frac_stored,pass_frac_hr,pass_frac_hr_var,median_n_control,median_null_skew,median_sd_ratio
anchor,2,0.0,0.0,0.0,10000.0,0.9256,0.0751
celltype,34,0.6765,0.3235,1.0,10000.0,0.7471,0.01
complex,745,0.0671,0.0081,0.0282,10000.0,0.7697,0.0898
data_derived,61,0.9836,0.918,0.918,10000.0,1.0194,0.0463
pathway,1172,0.1425,0.023,0.0973,10000.0,1.0774,0.024
regulon,146,0.0342,0.0,0.0274,10000.0,1.063,0.0446
signature,35,0.2286,0.1714,0.4857,10000.0,0.7634,0.0083
__all__,2195,0.1426,0.0483,0.1121,10000.0,0.9922,0.0398
