コホート,量,検定数,BH,BY,差（ポイント）
主コホート,条件効果あり(%),2195,90.75170842824602,85.74031890660592,-5.011389521640098
主コホート,共変動あり(%),2195,4.555808656036446,2.1867881548974943,-2.369020501138952
主コホート,条件効果のみ(%),2195,86.65148063781322,83.78132118451025,-2.870159453302975
GSE81046,条件効果あり(%),2514,88.26571201272871,83.2140015910899,-5.051710421638816
GSE81046,共変動あり(%),2514,27.44630071599045,13.24582338902148,-14.20047732696897
GSE81046,条件効果のみ(%),2514,64.43914081145584,72.31503579952268,7.8758949880668325
