pc,var_ratio,group,paper_sum,paper_sum_capped,oneway_group,unique,shapley,w_paper_sum,w_paper_sum_capped,w_oneway_group,w_unique,w_shapley
PC1,0.14817253125056712,技術,0.0701268997723596,0.0657810893795912,0.12471306929140683,-0.043610210848447684,0.033637769363063466,0.02988249165753729,0.028030653871627842,0.05314276354414318,-0.01858319369731823,0.014333734496075608
PC1,0.14817253125056712,生物学,0.0877414639481181,0.0850768145313411,0.05335905727204081,-0.004417526620069501,0.017557105467569546,0.03738841404597753,0.03625295298573421,0.022737374516223575,-0.0018823975222016871,0.007481438069674075
PC1,0.14817253125056712,細胞組成,0.999575415665638,1.003827151178121,0.4696769086385949,0.27374404889952136,0.364796818910642,0.4259393202418586,0.42775107081680563,0.2001388390145636,0.11664788097141321,0.15544730956565153
PC2,0.09532392661077989,技術,0.077297478506657,0.07902271347941273,0.12778535026386967,-0.10946895883225771,0.0015692241709790167,0.021190037145390656,0.021662986507562574,0.035030590532069625,-0.030009404559335127,0.0004301811535757471
PC2,0.09532392661077989,生物学,0.06835931778232603,0.07097978945037033,0.038637372413868595,-0.04623763718139673,-0.011389103928591021,0.01873976371578928,0.01945812986507474,0.010591902510502429,-0.012675410224468225,-0.0031221656897743974
PC2,0.09532392661077989,細胞組成,2.1845511641657693,2.1851845316855423,0.7268339610717848,0.44360944049238593,0.5776327292372584,0.5988645581846815,0.5990381871507222,0.19925150122867372,0.12160940697787537,0.15835004227048305
PC3,0.043935496334471656,技術,0.1647484690300103,0.01202683974641576,0.0031385888338310852,0.008792668881749927,0.011508408183203943,0.02081619711137328,0.0015196078498470613,0.0003965650436768674,0.001110965884266907,0.0014541033042078009
PC3,0.043935496334471656,生物学,0.1152342299819722,0.11622477534255929,0.06022174810931551,0.09570118519869814,0.08350424597942026,0.014560004468661278,0.014685161246112004,0.007609101234237457,0.012091977222108544,0.010550877068408914
PC3,0.043935496334471656,細胞組成,0.040874877729807746,0.04209498489532589,0.0072074067407849884,0.020083326866555257,0.01918814612908356,0.005164597381308405,0.005318759610578033,0.0009106658183918628,0.0025375561494911376,0.0024244488241774143
PC4,0.032251261872407636,技術,0.4553975618817459,0.35779004742226395,0.3713920239912811,0.17320590471861005,0.2821894165630904,0.04223785743538966,0.03318481757429156,0.03444639294326739,0.01606474632899343,0.026172903292052865
PC4,0.032251261872407636,生物学,0.09997487718153919,0.10256890969178992,0.0751600690358216,0.0173508617025791,0.05614591757734516,0.00927261136854959,0.009513206366243468,0.006971052430872331,0.0016092822718383427,0.005207501007277794
PC4,0.032251261872407636,細胞組成,0.1644609496756478,0.16252677243774438,0.11003948318689616,-0.04651055582812197,0.0416549158875319,0.01525365686497156,0.01507426305774131,0.010206097687275257,-0.004313826842180317,0.0038634690784699263
PC5,0.02804147727756575,技術,0.23227497809567366,0.1362502978944295,0.17134216907099464,0.06415416109790195,0.11946871256211627,0.018731294167652866,0.01098759940142872,0.01381750457369774,0.0051735683001929685,0.009634286125774676
PC5,0.02804147727756575,生物学,0.1139541886195641,0.11210476828317253,0.06586169266886316,-0.019019258274673823,0.025141764674762673,0.009189579722143189,0.009040437370932542,0.005311268350445711,-0.0015337653866734642,0.0020275011707154462
PC5,0.02804147727756575,細胞組成,0.058538794604153135,0.0615692275842208,0.2472952156314402,0.11994652259293176,0.18534141658985395,0.0047207296754046115,0.004965112139974788,0.01994256750435544,0.009672818043060116,0.014946442462537101
